Comunidades autónomas;Tipo de dato;Periodo;Total
12 Galicia;Dato base;2019;1.624.711
12 Galicia;Dato base;2018;1.512.511
12 Galicia;Dato base;2017;1.291.086
12 Galicia;Dato base;2016;1.035.147
13 Madrid, Comunidad de;Dato base;2025;9.111.879
13 Madrid, Comunidad de;Dato base;2024;8.824.800
13 Madrid, Comunidad de;Dato base;2023;7.846.067
13 Madrid, Comunidad de;Dato base;2022;6.048.182
13 Madrid, Comunidad de;Dato base;2021;2.177.068
13 Madrid, Comunidad de;Dato base;2020;1.718.335
13 Madrid, Comunidad de;Dato base;2019;7.640.980
13 Madrid, Comunidad de;Dato base;2018;7.139.775
13 Madrid, Comunidad de;Dato base;2017;6.699.785
13 Madrid, Comunidad de;Dato base;2016;5.783.137
14 Murcia, Región de;Dato base;2025;1.218.056
14 Murcia, Región de;Dato base;2024;1.144.121
14 Murcia, Región de;Dato base;2023;976.513
14 Murcia, Región de;Dato base;2022;821.232
14 Murcia, Región de;Dato base;2021;385.228
14 Murcia, Región de;Dato base;2020;279.245
14 Murcia, Región de;Dato base;2019;1.037.818
14 Murcia, Región de;Dato base;2018;1.134.189
14 Murcia, Región de;Dato base;2017;991.209
14 Murcia, Región de;Dato base;2016;924.305
15 Navarra, Comunidad Foral de;Dato base;2025;525.203
15 Navarra, Comunidad Foral de;Dato base;2024;513.034
15 Navarra, Comunidad Foral de;Dato base;2023;363.686
15 Navarra, Comunidad Foral de;Dato base;2022;273.406
15 Navarra, Comunidad Foral de;Dato base;2021;123.614
15 Navarra, Comunidad Foral de;Dato base;2020;146.325
15 Navarra, Comunidad Foral de;Dato base;2019;415.054
15 Navarra, Comunidad Foral de;Dato base;2018;323.730
15 Navarra, Comunidad Foral de;Dato base;2017;333.317
15 Navarra, Comunidad Foral de;Dato base;2016;300.622
16 País Vasco;Dato base;2025;2.132.257
16 País Vasco;Dato base;2024;2.148.737
16 País Vasco;Dato base;2023;2.002.173
16 País Vasco;Dato base;2022;1.545.013
16 País Vasco;Dato base;2021;668.683
16 País Vasco;Dato base;2020;527.286
16 País Vasco;Dato base;2019;1.611.280
16 País Vasco;Dato base;2018;1.552.389
16 País Vasco;Dato base;2017;1.514.765
16 País Vasco;Dato base;2016;1.382.083
17 Rioja, La;Dato base;2025;153.607
17 Rioja, La;Dato base;2024;123.123
17 Rioja, La;Dato base;2023;118.208
17 Rioja, La;Dato base;2022;105.910
17 Rioja, La;Dato base;2021;47.913
17 Rioja, La;Dato base;2020;45.355
17 Rioja, La;Dato base;2019;139.497
17 Rioja, La;Dato base;2018;142.926
17 Rioja, La;Dato base;2017;124.189
17 Rioja, La;Dato base;2016;150.779
18 Ceuta;Dato base;2025;""
18 Ceuta;Dato base;2024;64.048
18 Ceuta;Dato base;2023;46.568
18 Ceuta;Dato base;2022;35.937
18 Ceuta;Dato base;2021;3.942
18 Ceuta;Dato base;2020;""
18 Ceuta;Dato base;2019;""
18 Ceuta;Dato base;2018;""
18 Ceuta;Dato base;2017;""
18 Ceuta;Dato base;2016;""
19 Melilla;Dato base;2025;""
19 Melilla;Dato base;2024;28.967
19 Melilla;Dato base;2023;25.521
19 Melilla;Dato base;2022;25.224
19 Melilla;Dato base;2021;8.918
19 Melilla;Dato base;2020;""
19 Melilla;Dato base;2019;""
19 Melilla;Dato base;2018;""
19 Melilla;Dato base;2017;""
19 Melilla;Dato base;2016;""
