Continente y país de residencia;Continente y país de residencia;Continente y país de residencia;Continente y país de residencia;Provincia de destino;Concepto turístico;Periodo;Total
Total;;;;Total Nacional;Turistas;2025M12;6.383.699
Total;;;;Total Nacional;Turistas;2025M11;6.944.990
Total;;;;Total Nacional;Turistas;2025M10;9.960.294
Total;;;;Total Nacional;Turistas;2025M09;10.333.180
Total;;;;Total Nacional;Turistas;2025M08;12.662.896
Total;;;;Total Nacional;Turistas;2025M07;11.659.193
Total;;;;Total Nacional;Turistas;2025M06;10.048.365
Total;;;;Total Nacional;Turistas;2025M05;10.074.526
Total;;;;Total Nacional;Turistas;2025M04;8.952.093
Total;;;;Total Nacional;Turistas;2025M03;7.453.143
Total;;;;Total Nacional;Turistas;2025M02;6.060.415
Total;;;;Total Nacional;Turistas;2025M01;6.057.347
Total;;;;Total Nacional;Turistas;2024M12;5.956.465
Total;;;;Total Nacional;Turistas;2024M11;6.459.762
Total;;;;Total Nacional;Turistas;2024M10;9.590.909
Total;;;;Total Nacional;Turistas;2024M09;9.991.661
Total;;;;Total Nacional;Turistas;2024M08;11.912.628
Total;;;;Total Nacional;Turistas;2024M07;11.327.590
Total;;;;Total Nacional;Turistas;2024M06;9.662.925
Total;;;;Total Nacional;Turistas;2024M05;9.572.426
Total;;;;Total Nacional;Turistas;2024M04;8.312.924
Total;;;;Total Nacional;Turistas;2024M03;6.952.477
Total;;;;Total Nacional;Turistas;2024M02;5.621.982
Total;;;;Total Nacional;Turistas;2024M01;5.425.411
Total;;;;Total Nacional;Turistas;2023M12;5.710.153
Total;;;;Total Nacional;Turistas;2023M11;5.707.346
Total;;;;Total Nacional;Turistas;2023M10;8.899.883
Total;;;;Total Nacional;Turistas;2023M09;9.415.601
Total;;;;Total Nacional;Turistas;2023M08;11.210.440
Total;;;;Total Nacional;Turistas;2023M07;10.394.305
Total;;;;Total Nacional;Turistas;2023M06;8.298.322
Total;;;;Total Nacional;Turistas;2023M05;8.114.596
Total;;;;Total Nacional;Turistas;2023M04;7.151.712
Total;;;;Total Nacional;Turistas;2023M03;5.524.605
Total;;;;Total Nacional;Turistas;2023M02;4.410.328
Total;;;;Total Nacional;Turistas;2023M01;4.535.874
Total;;;;Total Nacional;Turistas;2022M12;4.353.314
Total;;;;Total Nacional;Turistas;2022M11;4.981.559
Total;;;;Total Nacional;Turistas;2022M10;7.366.319
Total;;;;Total Nacional;Turistas;2022M09;7.837.403
Total;;;;Total Nacional;Turistas;2022M08;9.022.515
Total;;;;Total Nacional;Turistas;2022M07;9.007.335
Total;;;;Total Nacional;Turistas;2022M06;7.524.339
Total;;;;Total Nacional;Turistas;2022M05;7.242.394
Total;;;;Total Nacional;Turistas;2022M04;6.318.408
Total;;;;Total Nacional;Turistas;2022M03;4.500.123
Total;;;;Total Nacional;Turistas;2022M02;3.429.476
Total;;;;Total Nacional;Turistas;2022M01;3.224.752
Total;;;;Total Nacional;Turistas;2021M12;3.189.032
Total;;;;Total Nacional;Turistas;2021M11;4.080.469
Total;;;;Total Nacional;Turistas;2021M10;5.185.949
Total;;;;Total Nacional;Turistas;2021M09;4.883.638
Total;;;;Total Nacional;Turistas;2021M08;6.063.583
Total;;;;Total Nacional;Turistas;2021M07;4.652.270
Total;;;;Total Nacional;Turistas;2021M06;2.826.162
Total;;;;Total Nacional;Turistas;2021M05;2.185.524
Total;;;;Total Nacional;Turistas;2021M04;1.713.947
Total;;;;Total Nacional;Turistas;2021M03;1.578.904
Total;;;;Total Nacional;Turistas;2021M02;1.313.299
Total;;;;Total Nacional;Turistas;2021M01;1.480.557
Total;;;;Total Nacional;Turistas;2020M12;1.861.825
Total;;;;Total Nacional;Turistas;2020M11;1.634.421
Total;;;;Total Nacional;Turistas;2020M10;2.067.138
Total;;;;Total Nacional;Turistas;2020M09;2.257.623
Total;;;;Total Nacional;Turistas;2020M08;3.888.753
Total;;;;Total Nacional;Turistas;2020M07;3.153.917
Total;;;;Total Nacional;Turistas;2020M06;1.285.909
Total;;;;Total Nacional;Turistas;2020M05;1.029.094
Total;;;;Total Nacional;Turistas;2020M04;897.381
Total;;;;Total Nacional;Turistas;2020M03;3.492.000
Total;;;;Total Nacional;Turistas;2020M02;4.609.566
Total;;;;Total Nacional;Turistas;2020M01;4.792.334
Total;;;;Total Nacional;Turistas;2019M12;4.414.159
Total;;;;Total Nacional;Turistas;2019M11;5.146.506
Total;;;;Total Nacional;Turistas;2019M10;7.549.115
Total;;;;Total Nacional;Turistas;2019M09;8.350.821
Total;;;;Total Nacional;Turistas;2019M08;10.759.089
Total;;;;Total Nacional;Turistas;2019M07;9.155.467
Total;;;;Albacete;Turistas;2025M12;18.764
Total;;;;Albacete;Turistas;2025M11;16.425
Total;;;;Albacete;Turistas;2025M10;18.610
Total;;;;Albacete;Turistas;2025M09;20.656
Total;;;;Albacete;Turistas;2025M08;24.431
Total;;;;Albacete;Turistas;2025M07;21.730
Total;;;;Albacete;Turistas;2025M06;16.780
Total;;;;Albacete;Turistas;2025M05;19.276
Total;;;;Albacete;Turistas;2025M04;17.416
Total;;;;Albacete;Turistas;2025M03;15.782
Total;;;;Albacete;Turistas;2025M02;14.170
Total;;;;Albacete;Turistas;2025M01;15.948
Total;;;;Albacete;Turistas;2024M12;13.500
Total;;;;Albacete;Turistas;2024M11;12.760
Total;;;;Albacete;Turistas;2024M10;18.259
Total;;;;Albacete;Turistas;2024M09;19.484
Total;;;;Albacete;Turistas;2024M08;19.204
Total;;;;Albacete;Turistas;2024M07;20.315
Total;;;;Albacete;Turistas;2024M06;18.676
Total;;;;Albacete;Turistas;2024M05;19.474
Total;;;;Albacete;Turistas;2024M04;16.775
Total;;;;Albacete;Turistas;2024M03;15.487
Total;;;;Albacete;Turistas;2024M02;13.079
Total;;;;Albacete;Turistas;2024M01;11.636
Total;;;;Albacete;Turistas;2023M12;15.085
Total;;;;Albacete;Turistas;2023M11;12.833
Total;;;;Albacete;Turistas;2023M10;17.009
Total;;;;Albacete;Turistas;2023M09;17.104
Total;;;;Albacete;Turistas;2023M08;21.226
Total;;;;Albacete;Turistas;2023M07;18.086
Total;;;;Albacete;Turistas;2023M06;13.538
Total;;;;Albacete;Turistas;2023M05;14.187
Total;;;;Albacete;Turistas;2023M04;13.592
Total;;;;Albacete;Turistas;2023M03;11.884
Total;;;;Albacete;Turistas;2023M02;10.400
Total;;;;Albacete;Turistas;2023M01;10.822
Total;;;;Albacete;Turistas;2022M12;11.727
Total;;;;Albacete;Turistas;2022M11;10.788
Total;;;;Albacete;Turistas;2022M10;12.082
Total;;;;Albacete;Turistas;2022M09;12.580
Total;;;;Albacete;Turistas;2022M08;14.383
Total;;;;Albacete;Turistas;2022M07;13.917
Total;;;;Albacete;Turistas;2022M06;12.260
Total;;;;Albacete;Turistas;2022M05;13.952
Total;;;;Albacete;Turistas;2022M04;12.821
Total;;;;Albacete;Turistas;2022M03;11.540
Total;;;;Albacete;Turistas;2022M02;9.292
Total;;;;Albacete;Turistas;2022M01;10.972
Total;;;;Albacete;Turistas;2021M12;11.496
Total;;;;Albacete;Turistas;2021M11;11.759
Total;;;;Albacete;Turistas;2021M10;12.668
Total;;;;Albacete;Turistas;2021M09;11.316
Total;;;;Albacete;Turistas;2021M08;13.368
Total;;;;Albacete;Turistas;2021M07;11.049
Total;;;;Albacete;Turistas;2021M06;10.964
Total;;;;Albacete;Turistas;2021M05;9.463
Total;;;;Albacete;Turistas;2021M04;7.856
Total;;;;Albacete;Turistas;2021M03;8.739
Total;;;;Albacete;Turistas;2021M02;7.449
Total;;;;Albacete;Turistas;2021M01;8.035
Total;;;;Albacete;Turistas;2020M12;10.007
Total;;;;Albacete;Turistas;2020M11;8.784
Total;;;;Albacete;Turistas;2020M10;10.149
Total;;;;Albacete;Turistas;2020M09;10.016
Total;;;;Albacete;Turistas;2020M08;12.697
Total;;;;Albacete;Turistas;2020M07;11.117
Total;;;;Albacete;Turistas;2020M06;8.000
Total;;;;Albacete;Turistas;2020M05;5.810
Total;;;;Albacete;Turistas;2020M04;5.329
Total;;;;Albacete;Turistas;2020M03;10.803
Total;;;;Albacete;Turistas;2020M02;11.366
Total;;;;Albacete;Turistas;2020M01;13.475
Total;;;;Albacete;Turistas;2019M12;12.479
Total;;;;Albacete;Turistas;2019M11;12.475
Total;;;;Albacete;Turistas;2019M10;13.147
Total;;;;Albacete;Turistas;2019M09;13.758
Total;;;;Albacete;Turistas;2019M08;17.889
Total;;;;Albacete;Turistas;2019M07;12.605
Total;;;;Alicante/Alacant;Turistas;2025M12;371.435
Total;;;;Alicante/Alacant;Turistas;2025M11;500.136
Total;;;;Alicante/Alacant;Turistas;2025M10;700.441
Total;;;;Alicante/Alacant;Turistas;2025M09;712.946
Total;;;;Alicante/Alacant;Turistas;2025M08;923.493
Total;;;;Alicante/Alacant;Turistas;2025M07;832.613
Total;;;;Alicante/Alacant;Turistas;2025M06;702.980
Total;;;;Alicante/Alacant;Turistas;2025M05;693.604
Total;;;;Alicante/Alacant;Turistas;2025M04;609.681
Total;;;;Alicante/Alacant;Turistas;2025M03;531.266
Total;;;;Alicante/Alacant;Turistas;2025M02;381.079
Total;;;;Alicante/Alacant;Turistas;2025M01;367.899
Total;;;;Alicante/Alacant;Turistas;2024M12;342.141
Total;;;;Alicante/Alacant;Turistas;2024M11;433.283
Total;;;;Alicante/Alacant;Turistas;2024M10;653.296
Total;;;;Alicante/Alacant;Turistas;2024M09;667.150
Total;;;;Alicante/Alacant;Turistas;2024M08;860.448
Total;;;;Alicante/Alacant;Turistas;2024M07;776.702
Total;;;;Alicante/Alacant;Turistas;2024M06;627.313
Total;;;;Alicante/Alacant;Turistas;2024M05;633.130
Total;;;;Alicante/Alacant;Turistas;2024M04;557.805
Total;;;;Alicante/Alacant;Turistas;2024M03;446.645
Total;;;;Alicante/Alacant;Turistas;2024M02;347.033
Total;;;;Alicante/Alacant;Turistas;2024M01;347.552
Total;;;;Alicante/Alacant;Turistas;2023M12;289.544
Total;;;;Alicante/Alacant;Turistas;2023M11;366.547
Total;;;;Alicante/Alacant;Turistas;2023M10;597.763
Total;;;;Alicante/Alacant;Turistas;2023M09;619.497
Total;;;;Alicante/Alacant;Turistas;2023M08;813.305
Total;;;;Alicante/Alacant;Turistas;2023M07;712.076
Total;;;;Alicante/Alacant;Turistas;2023M06;541.825
Total;;;;Alicante/Alacant;Turistas;2023M05;533.555
Total;;;;Alicante/Alacant;Turistas;2023M04;469.469
Total;;;;Alicante/Alacant;Turistas;2023M03;359.537
Total;;;;Alicante/Alacant;Turistas;2023M02;258.483
Total;;;;Alicante/Alacant;Turistas;2023M01;290.237
Total;;;;Alicante/Alacant;Turistas;2022M12;227.892
Total;;;;Alicante/Alacant;Turistas;2022M11;329.193
Total;;;;Alicante/Alacant;Turistas;2022M10;494.488
Total;;;;Alicante/Alacant;Turistas;2022M09;520.950
Total;;;;Alicante/Alacant;Turistas;2022M08;651.926
Total;;;;Alicante/Alacant;Turistas;2022M07;614.465
Total;;;;Alicante/Alacant;Turistas;2022M06;476.044
Total;;;;Alicante/Alacant;Turistas;2022M05;471.189
Total;;;;Alicante/Alacant;Turistas;2022M04;432.666
Total;;;;Alicante/Alacant;Turistas;2022M03;301.715
Total;;;;Alicante/Alacant;Turistas;2022M02;203.246
Total;;;;Alicante/Alacant;Turistas;2022M01;186.496
Total;;;;Alicante/Alacant;Turistas;2021M12;149.577
Total;;;;Alicante/Alacant;Turistas;2021M11;247.806
Total;;;;Alicante/Alacant;Turistas;2021M10;394.160
Total;;;;Alicante/Alacant;Turistas;2021M09;343.421
Total;;;;Alicante/Alacant;Turistas;2021M08;471.449
Total;;;;Alicante/Alacant;Turistas;2021M07;323.826
Total;;;;Alicante/Alacant;Turistas;2021M06;153.516
Total;;;;Alicante/Alacant;Turistas;2021M05;105.129
Total;;;;Alicante/Alacant;Turistas;2021M04;75.898
Total;;;;Alicante/Alacant;Turistas;2021M03;60.358
Total;;;;Alicante/Alacant;Turistas;2021M02;51.511
Total;;;;Alicante/Alacant;Turistas;2021M01;70.954
Total;;;;Alicante/Alacant;Turistas;2020M12;88.300
Total;;;;Alicante/Alacant;Turistas;2020M11;94.875
Total;;;;Alicante/Alacant;Turistas;2020M10;125.853
Total;;;;Alicante/Alacant;Turistas;2020M09;135.906
Total;;;;Alicante/Alacant;Turistas;2020M08;311.704
Total;;;;Alicante/Alacant;Turistas;2020M07;211.462
Total;;;;Alicante/Alacant;Turistas;2020M06;54.042
Total;;;;Alicante/Alacant;Turistas;2020M05;44.096
Total;;;;Alicante/Alacant;Turistas;2020M04;44.951
Total;;;;Alicante/Alacant;Turistas;2020M03;242.566
Total;;;;Alicante/Alacant;Turistas;2020M02;267.756
Total;;;;Alicante/Alacant;Turistas;2020M01;273.444
Total;;;;Alicante/Alacant;Turistas;2019M12;230.622
Total;;;;Alicante/Alacant;Turistas;2019M11;331.965
Total;;;;Alicante/Alacant;Turistas;2019M10;570.151
Total;;;;Alicante/Alacant;Turistas;2019M09;612.038
Total;;;;Alicante/Alacant;Turistas;2019M08;807.760
Total;;;;Alicante/Alacant;Turistas;2019M07;700.300
Total;;;;Almería;Turistas;2025M12;68.838
Total;;;;Almería;Turistas;2025M11;79.047
Total;;;;Almería;Turistas;2025M10;108.874
Total;;;;Almería;Turistas;2025M09;106.755
Total;;;;Almería;Turistas;2025M08;134.160
Total;;;;Almería;Turistas;2025M07;116.366
Total;;;;Almería;Turistas;2025M06;89.079
Total;;;;Almería;Turistas;2025M05;94.413
Total;;;;Almería;Turistas;2025M04;83.582
Total;;;;Almería;Turistas;2025M03;74.680
Total;;;;Almería;Turistas;2025M02;60.132
Total;;;;Almería;Turistas;2025M01;61.718
Total;;;;Almería;Turistas;2024M12;56.044
Total;;;;Almería;Turistas;2024M11;61.258
Total;;;;Almería;Turistas;2024M10;91.959
Total;;;;Almería;Turistas;2024M09;96.701
Total;;;;Almería;Turistas;2024M08;132.686
Total;;;;Almería;Turistas;2024M07;109.215
Total;;;;Almería;Turistas;2024M06;79.145
Total;;;;Almería;Turistas;2024M05;76.677
Total;;;;Almería;Turistas;2024M04;70.457
Total;;;;Almería;Turistas;2024M03;67.159
Total;;;;Almería;Turistas;2024M02;56.788
Total;;;;Almería;Turistas;2024M01;48.145
Total;;;;Almería;Turistas;2023M12;52.358
Total;;;;Almería;Turistas;2023M11;56.123
Total;;;;Almería;Turistas;2023M10;88.232
Total;;;;Almería;Turistas;2023M09;89.036
Total;;;;Almería;Turistas;2023M08;122.408
Total;;;;Almería;Turistas;2023M07;98.045
Total;;;;Almería;Turistas;2023M06;72.142
Total;;;;Almería;Turistas;2023M05;72.158
Total;;;;Almería;Turistas;2023M04;62.100
Total;;;;Almería;Turistas;2023M03;48.608
Total;;;;Almería;Turistas;2023M02;43.969
Total;;;;Almería;Turistas;2023M01;42.260
Total;;;;Almería;Turistas;2022M12;39.801
Total;;;;Almería;Turistas;2022M11;45.226
Total;;;;Almería;Turistas;2022M10;72.783
Total;;;;Almería;Turistas;2022M09;72.790
Total;;;;Almería;Turistas;2022M08;98.900
Total;;;;Almería;Turistas;2022M07;84.930
Total;;;;Almería;Turistas;2022M06;64.151
Total;;;;Almería;Turistas;2022M05;62.738
Total;;;;Almería;Turistas;2022M04;58.543
Total;;;;Almería;Turistas;2022M03;43.503
Total;;;;Almería;Turistas;2022M02;35.762
Total;;;;Almería;Turistas;2022M01;39.441
Total;;;;Almería;Turistas;2021M12;35.528
Total;;;;Almería;Turistas;2021M11;42.465
Total;;;;Almería;Turistas;2021M10;52.558
Total;;;;Almería;Turistas;2021M09;53.536
Total;;;;Almería;Turistas;2021M08;63.040
Total;;;;Almería;Turistas;2021M07;46.295
Total;;;;Almería;Turistas;2021M06;30.182
Total;;;;Almería;Turistas;2021M05;26.503
Total;;;;Almería;Turistas;2021M04;23.626
Total;;;;Almería;Turistas;2021M03;24.740
Total;;;;Almería;Turistas;2021M02;23.806
Total;;;;Almería;Turistas;2021M01;27.506
Total;;;;Almería;Turistas;2020M12;31.667
Total;;;;Almería;Turistas;2020M11;29.376
Total;;;;Almería;Turistas;2020M10;34.384
Total;;;;Almería;Turistas;2020M09;33.880
Total;;;;Almería;Turistas;2020M08;49.809
Total;;;;Almería;Turistas;2020M07;40.471
Total;;;;Almería;Turistas;2020M06;24.265
Total;;;;Almería;Turistas;2020M05;20.040
Total;;;;Almería;Turistas;2020M04;18.793
Total;;;;Almería;Turistas;2020M03;44.962
Total;;;;Almería;Turistas;2020M02;47.575
Total;;;;Almería;Turistas;2020M01;49.291
Total;;;;Almería;Turistas;2019M12;44.865
Total;;;;Almería;Turistas;2019M11;52.459
Total;;;;Almería;Turistas;2019M10;79.681
Total;;;;Almería;Turistas;2019M09;89.301
Total;;;;Almería;Turistas;2019M08;119.958
Total;;;;Almería;Turistas;2019M07;99.445
Total;;;;Araba/Álava;Turistas;2025M12;37.039
Total;;;;Araba/Álava;Turistas;2025M11;34.204
Total;;;;Araba/Álava;Turistas;2025M10;31.744
Total;;;;Araba/Álava;Turistas;2025M09;35.279
Total;;;;Araba/Álava;Turistas;2025M08;49.171
Total;;;;Araba/Álava;Turistas;2025M07;49.694
Total;;;;Araba/Álava;Turistas;2025M06;32.986
Total;;;;Araba/Álava;Turistas;2025M05;37.411
Total;;;;Araba/Álava;Turistas;2025M04;35.752
Total;;;;Araba/Álava;Turistas;2025M03;33.601
Total;;;;Araba/Álava;Turistas;2025M02;27.891
Total;;;;Araba/Álava;Turistas;2025M01;28.868
Total;;;;Araba/Álava;Turistas;2024M12;36.200
Total;;;;Araba/Álava;Turistas;2024M11;32.976
Total;;;;Araba/Álava;Turistas;2024M10;38.150
Total;;;;Araba/Álava;Turistas;2024M09;36.606
Total;;;;Araba/Álava;Turistas;2024M08;64.472
Total;;;;Araba/Álava;Turistas;2024M07;59.173
Total;;;;Araba/Álava;Turistas;2024M06;37.257
Total;;;;Araba/Álava;Turistas;2024M05;36.862
Total;;;;Araba/Álava;Turistas;2024M04;40.311
Total;;;;Araba/Álava;Turistas;2024M03;36.054
Total;;;;Araba/Álava;Turistas;2024M02;29.177
Total;;;;Araba/Álava;Turistas;2024M01;32.295
Total;;;;Araba/Álava;Turistas;2023M12;37.696
Total;;;;Araba/Álava;Turistas;2023M11;29.130
Total;;;;Araba/Álava;Turistas;2023M10;38.437
Total;;;;Araba/Álava;Turistas;2023M09;37.240
Total;;;;Araba/Álava;Turistas;2023M08;59.667
Total;;;;Araba/Álava;Turistas;2023M07;55.733
Total;;;;Araba/Álava;Turistas;2023M06;31.625
Total;;;;Araba/Álava;Turistas;2023M05;33.436
Total;;;;Araba/Álava;Turistas;2023M04;31.209
Total;;;;Araba/Álava;Turistas;2023M03;26.877
Total;;;;Araba/Álava;Turistas;2023M02;23.390
Total;;;;Araba/Álava;Turistas;2023M01;25.404
Total;;;;Araba/Álava;Turistas;2022M12;26.662
Total;;;;Araba/Álava;Turistas;2022M11;24.994
Total;;;;Araba/Álava;Turistas;2022M10;32.045
Total;;;;Araba/Álava;Turistas;2022M09;30.333
Total;;;;Araba/Álava;Turistas;2022M08;50.861
Total;;;;Araba/Álava;Turistas;2022M07;55.161
Total;;;;Araba/Álava;Turistas;2022M06;29.869
Total;;;;Araba/Álava;Turistas;2022M05;30.413
Total;;;;Araba/Álava;Turistas;2022M04;30.982
Total;;;;Araba/Álava;Turistas;2022M03;25.996
Total;;;;Araba/Álava;Turistas;2022M02;23.126
Total;;;;Araba/Álava;Turistas;2022M01;22.827
Total;;;;Araba/Álava;Turistas;2021M12;30.490
Total;;;;Araba/Álava;Turistas;2021M11;24.955
Total;;;;Araba/Álava;Turistas;2021M10;27.130
Total;;;;Araba/Álava;Turistas;2021M09;26.475
Total;;;;Araba/Álava;Turistas;2021M08;47.636
Total;;;;Araba/Álava;Turistas;2021M07;37.830
Total;;;;Araba/Álava;Turistas;2021M06;25.789
Total;;;;Araba/Álava;Turistas;2021M05;24.163
Total;;;;Araba/Álava;Turistas;2021M04;22.835
Total;;;;Araba/Álava;Turistas;2021M03;24.407
Total;;;;Araba/Álava;Turistas;2021M02;20.415
Total;;;;Araba/Álava;Turistas;2021M01;20.131
Total;;;;Araba/Álava;Turistas;2020M12;22.316
Total;;;;Araba/Álava;Turistas;2020M11;18.004
Total;;;;Araba/Álava;Turistas;2020M10;21.575
Total;;;;Araba/Álava;Turistas;2020M09;20.214
Total;;;;Araba/Álava;Turistas;2020M08;33.616
Total;;;;Araba/Álava;Turistas;2020M07;27.355
Total;;;;Araba/Álava;Turistas;2020M06;16.059
Total;;;;Araba/Álava;Turistas;2020M05;13.206
Total;;;;Araba/Álava;Turistas;2020M04;10.986
Total;;;;Araba/Álava;Turistas;2020M03;22.664
Total;;;;Araba/Álava;Turistas;2020M02;22.574
Total;;;;Araba/Álava;Turistas;2020M01;23.387
Total;;;;Araba/Álava;Turistas;2019M12;27.525
Total;;;;Araba/Álava;Turistas;2019M11;23.657
Total;;;;Araba/Álava;Turistas;2019M10;26.729
Total;;;;Araba/Álava;Turistas;2019M09;26.524
Total;;;;Araba/Álava;Turistas;2019M08;51.012
Total;;;;Araba/Álava;Turistas;2019M07;33.487
Total;;;;Asturias;Turistas;2025M12;36.347
Total;;;;Asturias;Turistas;2025M11;32.461
Total;;;;Asturias;Turistas;2025M10;55.236
Total;;;;Asturias;Turistas;2025M09;72.140
Total;;;;Asturias;Turistas;2025M08;104.699
Total;;;;Asturias;Turistas;2025M07;78.952
Total;;;;Asturias;Turistas;2025M06;60.129
Total;;;;Asturias;Turistas;2025M05;59.338
Total;;;;Asturias;Turistas;2025M04;51.954
Total;;;;Asturias;Turistas;2025M03;43.016
Total;;;;Asturias;Turistas;2025M02;31.789
Total;;;;Asturias;Turistas;2025M01;39.461
Total;;;;Asturias;Turistas;2024M12;32.678
Total;;;;Asturias;Turistas;2024M11;34.454
Total;;;;Asturias;Turistas;2024M10;51.150
Total;;;;Asturias;Turistas;2024M09;61.948
Total;;;;Asturias;Turistas;2024M08;86.352
Total;;;;Asturias;Turistas;2024M07;65.429
Total;;;;Asturias;Turistas;2024M06;55.907
Total;;;;Asturias;Turistas;2024M05;48.075
Total;;;;Asturias;Turistas;2024M04;43.165
Total;;;;Asturias;Turistas;2024M03;33.638
Total;;;;Asturias;Turistas;2024M02;26.402
Total;;;;Asturias;Turistas;2024M01;28.315
Total;;;;Asturias;Turistas;2023M12;31.823
Total;;;;Asturias;Turistas;2023M11;29.243
Total;;;;Asturias;Turistas;2023M10;48.825
Total;;;;Asturias;Turistas;2023M09;58.034
Total;;;;Asturias;Turistas;2023M08;84.902
Total;;;;Asturias;Turistas;2023M07;56.169
Total;;;;Asturias;Turistas;2023M06;43.937
Total;;;;Asturias;Turistas;2023M05;42.128
Total;;;;Asturias;Turistas;2023M04;34.978
Total;;;;Asturias;Turistas;2023M03;26.536
Total;;;;Asturias;Turistas;2023M02;24.281
Total;;;;Asturias;Turistas;2023M01;25.228
Total;;;;Asturias;Turistas;2022M12;23.720
Total;;;;Asturias;Turistas;2022M11;27.174
Total;;;;Asturias;Turistas;2022M10;35.067
Total;;;;Asturias;Turistas;2022M09;44.692
Total;;;;Asturias;Turistas;2022M08;62.059
Total;;;;Asturias;Turistas;2022M07;47.826
Total;;;;Asturias;Turistas;2022M06;41.507
Total;;;;Asturias;Turistas;2022M05;34.686
Total;;;;Asturias;Turistas;2022M04;32.122
Total;;;;Asturias;Turistas;2022M03;23.940
Total;;;;Asturias;Turistas;2022M02;18.699
Total;;;;Asturias;Turistas;2022M01;24.085
Total;;;;Asturias;Turistas;2021M12;22.993
Total;;;;Asturias;Turistas;2021M11;23.962
Total;;;;Asturias;Turistas;2021M10;30.123
Total;;;;Asturias;Turistas;2021M09;35.603
Total;;;;Asturias;Turistas;2021M08;49.338
Total;;;;Asturias;Turistas;2021M07;33.583
Total;;;;Asturias;Turistas;2021M06;23.045
Total;;;;Asturias;Turistas;2021M05;17.201
Total;;;;Asturias;Turistas;2021M04;15.121
Total;;;;Asturias;Turistas;2021M03;14.722
Total;;;;Asturias;Turistas;2021M02;14.740
Total;;;;Asturias;Turistas;2021M01;14.611
Total;;;;Asturias;Turistas;2020M12;17.963
Total;;;;Asturias;Turistas;2020M11;14.505
Total;;;;Asturias;Turistas;2020M10;20.137
Total;;;;Asturias;Turistas;2020M09;22.598
Total;;;;Asturias;Turistas;2020M08;38.323
Total;;;;Asturias;Turistas;2020M07;27.717
Total;;;;Asturias;Turistas;2020M06;13.453
Total;;;;Asturias;Turistas;2020M05;10.639
Total;;;;Asturias;Turistas;2020M04;9.411
Total;;;;Asturias;Turistas;2020M03;21.047
Total;;;;Asturias;Turistas;2020M02;23.192
Total;;;;Asturias;Turistas;2020M01;28.565
Total;;;;Asturias;Turistas;2019M12;24.895
Total;;;;Asturias;Turistas;2019M11;26.083
Total;;;;Asturias;Turistas;2019M10;33.257
Total;;;;Asturias;Turistas;2019M09;44.778
Total;;;;Asturias;Turistas;2019M08;70.023
Total;;;;Asturias;Turistas;2019M07;45.527
Total;;;;Ávila;Turistas;2025M12;7.659
Total;;;;Ávila;Turistas;2025M11;7.775
Total;;;;Ávila;Turistas;2025M10;12.175
Total;;;;Ávila;Turistas;2025M09;11.172
Total;;;;Ávila;Turistas;2025M08;17.379
Total;;;;Ávila;Turistas;2025M07;12.066
Total;;;;Ávila;Turistas;2025M06;9.478
Total;;;;Ávila;Turistas;2025M05;11.669
Total;;;;Ávila;Turistas;2025M04;9.941
Total;;;;Ávila;Turistas;2025M03;8.499
Total;;;;Ávila;Turistas;2025M02;7.391
Total;;;;Ávila;Turistas;2025M01;7.725
Total;;;;Ávila;Turistas;2024M12;6.388
Total;;;;Ávila;Turistas;2024M11;6.592
Total;;;;Ávila;Turistas;2024M10;10.138
Total;;;;Ávila;Turistas;2024M09;10.044
Total;;;;Ávila;Turistas;2024M08;13.188
Total;;;;Ávila;Turistas;2024M07;14.662
Total;;;;Ávila;Turistas;2024M06;10.245
Total;;;;Ávila;Turistas;2024M05;10.273
Total;;;;Ávila;Turistas;2024M04;9.940
Total;;;;Ávila;Turistas;2024M03;7.827
Total;;;;Ávila;Turistas;2024M02;6.979
Total;;;;Ávila;Turistas;2024M01;5.921
Total;;;;Ávila;Turistas;2023M12;7.794
Total;;;;Ávila;Turistas;2023M11;6.654
Total;;;;Ávila;Turistas;2023M10;10.639
Total;;;;Ávila;Turistas;2023M09;11.201
Total;;;;Ávila;Turistas;2023M08;16.462
Total;;;;Ávila;Turistas;2023M07;10.933
Total;;;;Ávila;Turistas;2023M06;8.019
Total;;;;Ávila;Turistas;2023M05;8.469
Total;;;;Ávila;Turistas;2023M04;8.175
Total;;;;Ávila;Turistas;2023M03;5.809
Total;;;;Ávila;Turistas;2023M02;5.131
Total;;;;Ávila;Turistas;2023M01;4.531
Total;;;;Ávila;Turistas;2022M12;5.286
Total;;;;Ávila;Turistas;2022M11;5.479
Total;;;;Ávila;Turistas;2022M10;6.892
Total;;;;Ávila;Turistas;2022M09;7.499
Total;;;;Ávila;Turistas;2022M08;10.463
Total;;;;Ávila;Turistas;2022M07;8.473
Total;;;;Ávila;Turistas;2022M06;6.469
Total;;;;Ávila;Turistas;2022M05;6.634
Total;;;;Ávila;Turistas;2022M04;6.650
Total;;;;Ávila;Turistas;2022M03;5.135
Total;;;;Ávila;Turistas;2022M02;4.359
Total;;;;Ávila;Turistas;2022M01;4.847
Total;;;;Ávila;Turistas;2021M12;5.087
Total;;;;Ávila;Turistas;2021M11;5.270
Total;;;;Ávila;Turistas;2021M10;6.537
Total;;;;Ávila;Turistas;2021M09;6.912
Total;;;;Ávila;Turistas;2021M08;10.581
Total;;;;Ávila;Turistas;2021M07;6.897
Total;;;;Ávila;Turistas;2021M06;4.751
