Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Viviendas y plazas;Periodo;Total
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2021M08;466
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2021M02;438
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2020M08;447
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2025M11;1.545
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2025M05;1.668
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2024M11;1.686
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2024M08;1.646
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2024M02;1.455
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2023M08;1.290
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2023M02;1.216
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2022M08;1.148
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2022M02;1.045
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2021M08;1.029
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2021M02;1.059
Total Nacional;08 Castilla - La Mancha;45 Toledo;;Viviendas turísticas;2020M08;1.139
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2025M11;7.035
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2025M05;8.221
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2024M11;8.244
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2024M08;8.487
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2024M02;7.206
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2023M08;6.612
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2023M02;6.231
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2022M08;6.171
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2022M02;5.612
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2021M08;5.735
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2021M02;5.403
Total Nacional;07 Castilla y León;;;Viviendas turísticas;2020M08;5.794
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2025M11;1.190
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2025M05;1.327
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2024M11;1.328
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2024M08;1.363
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2024M02;1.126
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2023M08;1.121
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2023M02;1.016
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2022M08;992
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2022M02;852
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2021M08;847
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2021M02;786
Total Nacional;07 Castilla y León;05 Ávila;;Viviendas turísticas;2020M08;799
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2025M11;877
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2025M05;1.005
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2024M11;973
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2024M08;1.030
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2024M02;843
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2023M08;779
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2023M02;720
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2022M08;710
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2022M02;631
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2021M08;619
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2021M02;594
Total Nacional;07 Castilla y León;09 Burgos;;Viviendas turísticas;2020M08;627
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2025M11;1.242
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2025M05;1.537
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2024M11;1.538
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2024M08;1.605
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2024M02;1.330
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2023M08;1.226
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2023M02;1.128
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2022M08;1.124
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2022M02;986
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2021M08;1.026
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2021M02;928
Total Nacional;07 Castilla y León;24 León;;Viviendas turísticas;2020M08;1.002
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2025M11;203
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2025M05;239
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2024M11;234
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2024M08;228
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2024M02;187
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2023M08;178
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2023M02;167
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2022M08;156
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2022M02;168
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2021M08;166
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2021M02;152
Total Nacional;07 Castilla y León;34 Palencia;;Viviendas turísticas;2020M08;145
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2025M11;1.207
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2025M05;1.410
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2024M11;1.454
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2024M08;1.512
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2024M02;1.378
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2023M08;1.192
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2023M02;1.184
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2022M08;1.198
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2022M02;1.145
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2021M08;1.182
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2021M02;1.192
Total Nacional;07 Castilla y León;37 Salamanca;;Viviendas turísticas;2020M08;1.314
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2025M11;810
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2025M05;978
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2024M11;982
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2024M08;985
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2024M02;833
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2023M08;768
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2023M02;737
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2022M08;730
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2022M02;649
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2021M08;692
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2021M02;680
Total Nacional;07 Castilla y León;40 Segovia;;Viviendas turísticas;2020M08;769
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2025M11;521
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2025M05;550
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2024M11;531
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2024M08;527
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2024M02;409
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2023M08;386
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2023M02;363
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2022M08;377
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2022M02;339
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2021M08;346
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2021M02;295
Total Nacional;07 Castilla y León;42 Soria;;Viviendas turísticas;2020M08;320
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2025M11;506
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2025M05;629
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2024M11;646
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2024M08;667
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2024M02;611
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2023M08;507
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2023M02;505
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2022M08;462
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2022M02;449
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2021M08;458
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2021M02;432
Total Nacional;07 Castilla y León;47 Valladolid;;Viviendas turísticas;2020M08;443
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2025M11;479
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2025M05;546
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2024M11;558
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2024M08;570
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2024M02;489
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2023M08;455
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2023M02;411
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2022M08;422
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2022M02;393
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2021M08;399
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2021M02;344
Total Nacional;07 Castilla y León;49 Zamora;;Viviendas turísticas;2020M08;375
Total Nacional;09 Cataluña;;;Viviendas turísticas;2025M11;46.915
Total Nacional;09 Cataluña;;;Viviendas turísticas;2025M05;56.851
Total Nacional;09 Cataluña;;;Viviendas turísticas;2024M11;52.870
Total Nacional;09 Cataluña;;;Viviendas turísticas;2024M08;58.705
Total Nacional;09 Cataluña;;;Viviendas turísticas;2024M02;52.598
Total Nacional;09 Cataluña;;;Viviendas turísticas;2023M08;52.026
Total Nacional;09 Cataluña;;;Viviendas turísticas;2023M02;45.709
Total Nacional;09 Cataluña;;;Viviendas turísticas;2022M08;49.265
Total Nacional;09 Cataluña;;;Viviendas turísticas;2022M02;49.588
Total Nacional;09 Cataluña;;;Viviendas turísticas;2021M08;56.493
Total Nacional;09 Cataluña;;;Viviendas turísticas;2021M02;54.646
Total Nacional;09 Cataluña;;;Viviendas turísticas;2020M08;63.199
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2025M11;15.741
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2025M05;18.113
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2024M11;18.157
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2024M08;18.690
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2024M02;16.768
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2023M08;14.713
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2023M02;14.188
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2022M08;14.807
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2022M02;18.953
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2021M08;20.763
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2021M02;22.635
Total Nacional;09 Cataluña;08 Barcelona;;Viviendas turísticas;2020M08;25.956
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2025M11;17.754
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2025M05;22.998
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2024M11;20.110
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2024M08;23.261
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2024M02;20.721
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2023M08;21.632
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2023M02;18.498
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2022M08;20.298
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2022M02;18.033
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2021M08;21.438
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2021M02;19.137
Total Nacional;09 Cataluña;17 Girona;;Viviendas turísticas;2020M08;22.106
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2025M11;2.670
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2025M05;2.725
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2024M11;2.830
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2024M08;2.953
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2024M02;2.827
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2023M08;2.783
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2023M02;2.669
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2022M08;2.568
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2022M02;2.481
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2021M08;2.592
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2021M02;2.370
Total Nacional;09 Cataluña;25 Lleida;;Viviendas turísticas;2020M08;2.449
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2025M11;10.750
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2025M05;13.015
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2024M11;11.773
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2024M08;13.801
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2024M02;12.282
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2023M08;12.898
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2023M02;10.354
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2022M08;11.592
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2022M02;10.121
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2021M08;11.700
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2021M02;10.504
Total Nacional;09 Cataluña;43 Tarragona;;Viviendas turísticas;2020M08;12.688
Total Nacional;18 Ceuta;;;Viviendas turísticas;2025M11;46
Total Nacional;18 Ceuta;;;Viviendas turísticas;2025M05;55
Total Nacional;18 Ceuta;;;Viviendas turísticas;2024M11;57
Total Nacional;18 Ceuta;;;Viviendas turísticas;2024M08;54
Total Nacional;18 Ceuta;;;Viviendas turísticas;2024M02;39
Total Nacional;18 Ceuta;;;Viviendas turísticas;2023M08;47
Total Nacional;18 Ceuta;;;Viviendas turísticas;2023M02;43
Total Nacional;18 Ceuta;;;Viviendas turísticas;2022M08;51
Total Nacional;18 Ceuta;;;Viviendas turísticas;2022M02;47
Total Nacional;18 Ceuta;;;Viviendas turísticas;2021M08;56
Total Nacional;18 Ceuta;;;Viviendas turísticas;2021M02;49
Total Nacional;18 Ceuta;;;Viviendas turísticas;2020M08;66
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2025M11;46
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2025M05;55
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2024M11;57
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2024M08;54
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2024M02;39
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2023M08;47
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2023M02;43
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2022M08;51
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2022M02;47
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2021M08;56
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2021M02;49
Total Nacional;18 Ceuta;51 Ceuta;;Viviendas turísticas;2020M08;66
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2025M11;48.441
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2025M05;63.190
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2024M11;64.745
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2024M08;71.146
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2024M02;59.413
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2023M08;58.337
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2023M02;49.950
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2022M08;51.691
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2022M02;47.403
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2021M08;51.047
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2021M02;49.757
Total Nacional;10 Comunitat Valenciana;;;Viviendas turísticas;2020M08;54.638
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2025M11;29.697
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2025M05;40.273
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2024M11;41.179
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2024M08;44.589
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2024M02;38.007
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2023M08;37.962
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2023M02;33.115
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2022M08;34.061
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2022M02;31.946
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2021M08;33.776
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2021M02;33.391
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;;Viviendas turísticas;2020M08;35.716
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2025M11;6.206
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2025M05;7.659
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2024M11;7.273
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2024M08;8.704
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2024M02;6.807
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2023M08;7.020
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2023M02;5.527
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2022M08;6.100
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2022M02;4.914
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2021M08;5.690
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2021M02;4.750
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;;Viviendas turísticas;2020M08;5.574
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2025M11;12.538
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2025M05;15.258
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2024M11;16.293
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2024M08;17.853
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2024M02;14.599
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2023M08;13.355
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2023M02;11.308
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2022M08;11.530
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2022M02;10.543
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2021M08;11.581
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2021M02;11.616
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;;Viviendas turísticas;2020M08;13.348
Total Nacional;11 Extremadura;;;Viviendas turísticas;2025M11;2.114
Total Nacional;11 Extremadura;;;Viviendas turísticas;2025M05;2.005
Total Nacional;11 Extremadura;;;Viviendas turísticas;2024M11;2.033
Total Nacional;11 Extremadura;;;Viviendas turísticas;2024M08;2.024
Total Nacional;11 Extremadura;;;Viviendas turísticas;2024M02;1.759
Total Nacional;11 Extremadura;;;Viviendas turísticas;2023M08;1.592
Total Nacional;11 Extremadura;;;Viviendas turísticas;2023M02;1.520
Total Nacional;11 Extremadura;;;Viviendas turísticas;2022M08;1.478
Total Nacional;11 Extremadura;;;Viviendas turísticas;2022M02;1.282
Total Nacional;11 Extremadura;;;Viviendas turísticas;2021M08;1.289
Total Nacional;11 Extremadura;;;Viviendas turísticas;2021M02;1.268
Total Nacional;11 Extremadura;;;Viviendas turísticas;2020M08;1.366
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2025M11;679
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2025M05;657
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2024M11;661
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2024M08;657
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2024M02;550
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2023M08;493
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2023M02;462
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2022M08;430
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2022M02;338
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2021M08;326
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2021M02;330
Total Nacional;11 Extremadura;06 Badajoz;;Viviendas turísticas;2020M08;384
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2025M11;1.435
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2025M05;1.348
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2024M11;1.372
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2024M08;1.367
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2024M02;1.209
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2023M08;1.099
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2023M02;1.058
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2022M08;1.048
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2022M02;944
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2021M08;963
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2021M02;938
Total Nacional;11 Extremadura;10 Cáceres;;Viviendas turísticas;2020M08;982
Total Nacional;12 Galicia;;;Viviendas turísticas;2025M11;15.236
Total Nacional;12 Galicia;;;Viviendas turísticas;2025M05;19.996
Total Nacional;12 Galicia;;;Viviendas turísticas;2024M11;19.676
Total Nacional;12 Galicia;;;Viviendas turísticas;2024M08;21.984
Total Nacional;12 Galicia;;;Viviendas turísticas;2024M02;17.883
Total Nacional;12 Galicia;;;Viviendas turísticas;2023M08;18.080
Total Nacional;12 Galicia;;;Viviendas turísticas;2023M02;14.775
Total Nacional;12 Galicia;;;Viviendas turísticas;2022M08;15.966
Total Nacional;12 Galicia;;;Viviendas turísticas;2022M02;12.695
Total Nacional;12 Galicia;;;Viviendas turísticas;2021M08;13.502
Total Nacional;12 Galicia;;;Viviendas turísticas;2021M02;11.398
Total Nacional;12 Galicia;;;Viviendas turísticas;2020M08;12.548
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2025M11;5.216
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2025M05;7.114
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2024M11;7.156
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2024M08;8.129
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2024M02;6.660
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2023M08;6.694
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2023M02;5.628
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2022M08;6.109
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2022M02;4.981
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2021M08;5.244
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2021M02;4.536
Total Nacional;12 Galicia;15 Coruña, A;;Viviendas turísticas;2020M08;4.963
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2025M11;2.355
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2025M05;2.751
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2024M11;2.679
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2024M08;2.998
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2024M02;2.422
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2023M08;2.558
