Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Viviendas y plazas;Periodo;Total
Total Nacional;01 Andalucía;21 Huelva;;Viviendas turísticas;2022M02;1.769
Total Nacional;01 Andalucía;21 Huelva;;Viviendas turísticas;2021M08;1.978
Total Nacional;01 Andalucía;21 Huelva;;Viviendas turísticas;2021M02;1.763
Total Nacional;01 Andalucía;21 Huelva;;Viviendas turísticas;2020M08;1.969
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2025M11;1.089
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2025M05;1.136
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2024M11;1.075
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2024M08;1.050
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2024M02;953
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2023M08;864
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2023M02;763
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2022M08;748
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2022M02;597
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2021M08;602
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2021M02;510
Total Nacional;01 Andalucía;23 Jaén;;Viviendas turísticas;2020M08;527
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2025M11;48.261
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2025M05;48.412
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2024M11;45.543
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2024M08;48.034
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2024M02;41.038
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2023M08;39.041
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2023M02;35.360
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2022M08;35.060
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2022M02;30.659
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2021M08;31.737
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2021M02;31.736
Total Nacional;01 Andalucía;29 Málaga;;Viviendas turísticas;2020M08;34.567
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2025M11;8.481
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2025M05;8.719
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2024M11;8.141
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2024M08;8.134
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2024M02;7.477
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2023M08;6.499
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2023M02;6.152
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2022M08;5.913
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2022M02;5.544
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2021M08;5.486
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2021M02;5.543
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas turísticas;2020M08;6.432
Total Nacional;02 Aragón;;;Viviendas turísticas;2025M11;3.785
Total Nacional;02 Aragón;;;Viviendas turísticas;2025M05;4.643
Total Nacional;02 Aragón;;;Viviendas turísticas;2024M11;4.864
Total Nacional;02 Aragón;;;Viviendas turísticas;2024M08;5.002
Total Nacional;02 Aragón;;;Viviendas turísticas;2024M02;4.594
Total Nacional;02 Aragón;;;Viviendas turísticas;2023M08;4.041
Total Nacional;02 Aragón;;;Viviendas turísticas;2023M02;3.880
Total Nacional;02 Aragón;;;Viviendas turísticas;2022M08;3.744
Total Nacional;02 Aragón;;;Viviendas turísticas;2022M02;3.480
Total Nacional;02 Aragón;;;Viviendas turísticas;2021M08;3.609
Total Nacional;02 Aragón;;;Viviendas turísticas;2021M02;3.521
Total Nacional;02 Aragón;;;Viviendas turísticas;2020M08;3.767
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2025M11;1.996
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2025M05;2.573
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2024M11;2.625
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2024M08;2.769
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2024M02;2.564
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2023M08;2.366
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2023M02;2.241
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2022M08;2.183
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2022M02;2.031
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2021M08;2.047
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2021M02;1.967
Total Nacional;02 Aragón;22 Huesca;;Viviendas turísticas;2020M08;2.133
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2025M11;698
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2025M05;810
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2024M11;858
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2024M08;852
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2024M02;777
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2023M08;682
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2023M02;643
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2022M08;640
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2022M02;595
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2021M08;651
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2021M02;635
Total Nacional;02 Aragón;44 Teruel;;Viviendas turísticas;2020M08;654
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2025M11;1.091
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2025M05;1.260
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2024M11;1.381
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2024M08;1.381
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2024M02;1.253
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2023M08;993
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2023M02;996
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2022M08;921
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2022M02;854
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2021M08;911
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2021M02;919
Total Nacional;02 Aragón;50 Zaragoza;;Viviendas turísticas;2020M08;980
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2025M11;6.043
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2025M05;7.697
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2024M11;7.649
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2024M08;8.751
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2024M02;7.240
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2023M08;7.036
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2023M02;5.810
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2022M08;6.110
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2022M02;4.723
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2021M08;5.176
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2021M02;4.373
Total Nacional;03 Asturias, Principado de;;;Viviendas turísticas;2020M08;4.891
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2025M11;6.043
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2025M05;7.697
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2024M11;7.649
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2024M08;8.751
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2024M02;7.240
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2023M08;7.036
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2023M02;5.810
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2022M08;6.110
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2022M02;4.723
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2021M08;5.176
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2021M02;4.373
Total Nacional;03 Asturias, Principado de;33 Asturias;;Viviendas turísticas;2020M08;4.891
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2025M11;19.398
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2025M05;24.361
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2024M11;24.190
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2024M08;26.979
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2024M02;25.073
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2023M08;26.507
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2023M02;25.393
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2022M08;27.038
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2022M02;26.458
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2021M08;29.211
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2021M02;27.703
Total Nacional;04 Balears, Illes;;;Viviendas turísticas;2020M08;29.237
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2025M11;19.398
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2025M05;24.361
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2024M11;24.190
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2024M08;26.979
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2024M02;25.073
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2023M08;26.507
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2023M02;25.393
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2022M08;27.038
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2022M02;26.458
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2021M08;29.211
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2021M02;27.703
Total Nacional;04 Balears, Illes;07 Balears, Illes;;Viviendas turísticas;2020M08;29.237
Total Nacional;05 Canarias;;;Viviendas turísticas;2025M11;49.676
Total Nacional;05 Canarias;;;Viviendas turísticas;2025M05;50.686
Total Nacional;05 Canarias;;;Viviendas turísticas;2024M11;51.286
Total Nacional;05 Canarias;;;Viviendas turísticas;2024M08;51.155
Total Nacional;05 Canarias;;;Viviendas turísticas;2024M02;46.784
Total Nacional;05 Canarias;;;Viviendas turísticas;2023M08;44.376
Total Nacional;05 Canarias;;;Viviendas turísticas;2023M02;42.651
Total Nacional;05 Canarias;;;Viviendas turísticas;2022M08;40.935
Total Nacional;05 Canarias;;;Viviendas turísticas;2022M02;38.768
Total Nacional;05 Canarias;;;Viviendas turísticas;2021M08;39.327
Total Nacional;05 Canarias;;;Viviendas turísticas;2021M02;37.855
Total Nacional;05 Canarias;;;Viviendas turísticas;2020M08;37.791
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2025M11;27.336
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2025M05;27.038
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2024M11;27.217
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2024M08;27.106
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2024M02;25.070
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2023M08;24.062
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2023M02;23.161
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2022M08;22.209
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2022M02;21.095
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2021M08;21.097
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2021M02;20.462
Total Nacional;05 Canarias;35 Palmas, Las;;Viviendas turísticas;2020M08;20.272
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2025M11;22.340
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2025M05;23.648
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2024M11;24.069
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2024M08;24.049
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2024M02;21.714
