Periodo,Tipo de vivienda,TOTAL NACIONAL,Andalucía,Almería           ,Cádiz             ,Córdoba           ,Granada           ,Huelva            ,Jaén              ,Málaga            ,Sevilla           ,Aragón,Huesca            ,Teruel            ,Zaragoza          ,Asturias (Ppdo. de ),Balears (Illes),Canarias,Palmas (Las)      ,Santa Cruz de Tenerife,Cantabria,Castilla y León,Avila             ,Burgos            ,León              ,Palencia          ,Salamanca         ,Segovia           ,Soria             ,Valladolid        ,Zamora            ,Castilla-La Mancha,Albacete          ,Ciudad Real       ,Cuenca            ,Guadalajara       ,Toledo            ,Cataluña,Barcelona,Girona,Lleida,Tarragona,Comunitat Valenciana,Alicante/Alacant,Castellón/Castelló,Valencia/València,Extremadura,Badajoz           ,Cáceres           ,Galicia,Coruña (A),Lugo,Ourense,Pontevedra,Madrid (Comunidad de),Murcia (Región de),Navarra (Comunidad Foral de),País Vasco,Araba/Alava,Gipuzkoa,Bizkaia,Rioja (La),Ceuta y Melilla
2018,Principales,18.423.609,3.210.097,264.658,464.457,298.338,364.138,205.646,245.916,648.749,718.195,539.919,89.696,54.991,395.232,449.630,438.961,813.617,419.331,394.286,237.609,1.030.463,68.950,155.806,199.889,68.568,142.722,63.622,37.931,216.218,76.757,795.322,150.240,194.587,81.385,102.942,266.168,2.981.225,2.192.289,297.194,170.610,321.132,2.003.696,738.722,237.381,1.027.593,432.715,265.412,167.303,1.083.624,450.291,137.127,133.912,362.294,2.529.127,523.837,254.635,917.009,139.062,295.885,482.062,131.340,50.783
2018,No principales,7.890.826,1.385.637,159.934,176.331,111.860,200.412,107.472,121.767,321.081,186.780,289.105,78.731,67.885,142.489,210.165,194.380,263.567,127.756,135.811,140.651,776.500,101.456,114.735,148.379,47.140,101.654,64.053,45.027,78.320,75.736,531.791,85.324,113.372,82.814,81.807,168.474,922.717,406.513,206.185,82.685,227.334,1.247.831,592.657,203.398,451.776,255.724,127.566,128.158,640.022,227.933,121.775,133.012,157.302,425.764,305.566,70.927,147.070,26.858,50.204,70.008,77.530,5.879
2019,Total,26.463.070,4.631.461,429.285,644.055,411.876,568.859,316.376,370.514,982.365,908.131,835.367,170.122,124.422,540.823,666.673,641.648,1.084.051,549.401,534.650,380.849,1.818.161,171.160,272.825,351.467,116.042,245.300,128.000,83.612,295.598,154.157,1.337.176,238.553,310.557,164.880,186.339,436.847,3.909.117,2.597.926,505.312,254.516,551.363,3.266.765,1.340.210,443.462,1.483.093,693.501,395.651,297.850,1.740.695,682.774,263.838,269.928,524.155,2.955.917,836.250,328.100,1.069.989,167.063,348.252,554.674,210.249,57.101
2019,Principales,18.466.644,3.219.441,266.811,466.468,298.840,366.062,199.886,246.041,654.544,720.789,540.069,89.970,54.806,395.293,448.098,440.249,816.964,421.109,395.855,237.921,1.024.047,67.483,151.909,199.219,68.460,142.977,63.486,37.951,216.168,76.394,796.624,150.739,194.234,81.144,103.626,266.881,2.985.289,2.195.058,298.060,170.185,321.986,2.015.270,748.583,237.854,1.028.833,433.536,265.783,167.753,1.087.330,451.818,137.341,133.770,364.401,2.537.807,529.988,255.484,915.886,139.640,297.148,479.098,131.792,50.849
2019,No principales,7.996.426,1.412.020,162.474,177.587,113.036,202.797,116.490,124.473,327.821,187.342,295.298,80.152,69.616,145.530,218.575,201.399,267.087,128.292,138.795,142.928,794.114,103.677,120.916,152.248,47.582,102.323,64.514,45.661,79.430,77.763,540.552,87.814,116.323,83.736,82.713,169.966,923.828,402.868,207.252,84.331,229.377,1.251.495,591.627,205.608,454.260,259.965,129.868,130.097,653.365,230.956,126.497,136.158,159.754,418.110,306.262,72.616,154.103,27.423,51.104,75.576,78.457,6.252
2020,Total,26.623.708,4.673.007,433.763,648.306,414.025,573.692,320.045,373.720,996.557,912.899,841.353,171.843,125.711,543.799,674.342,652.123,1.088.700,551.237,537.463,383.642,1.829.895,171.947,275.639,354.725,116.431,246.123,128.255,84.255,296.910,155.610,1.347.273,241.313,313.180,165.616,187.779,439.385,3.915.127,2.597.046,507.421,256.081,554.579,3.285.786,1.350.006,446.872,1.488.908,698.505,398.348,300.157,1.757.739,686.961,269.067,272.883,528.828,2.956.941,844.100,331.104,1.075.076,168.086,350.286,556.704,211.333,57.662
2020,Principales,18.536.616,3.241.130,274.943,468.478,299.346,367.986,200.494,246.169,660.335,723.379,540.225,90.244,54.625,395.356,446.569,441.536,820.315,422.889,397.426,238.230,1.025.679,69.768,152.299,198.550,68.354,143.233,63.353,37.971,216.117,76.034,799.695,151.234,193.882,80.906,104.311,269.362,2.989.357,2.197.826,298.924,169.763,322.844,2.022.501,754.099,238.331,1.030.071,434.364,266.157,168.207,1.091.041,453.349,137.555,133.631,366.506,2.546.489,540.497,256.330,919.503,140.218,298.409,480.876,132.241,50.914
2020,No principales,8.087.092,1.431.877,158.820,179.828,114.679,205.706,119.551,127.551,336.222,189.520,301.128,81.599,71.086,148.443,227.773,210.587,268.385,128.348,140.037,145.412,804.216,102.179,123.340,156.175,48.077,102.890,64.902,46.284,80.793,79.576,547.578,90.079,119.298,84.710,83.468,170.023,925.770,399.220,208.497,86.318,231.735,1.263.285,595.907,208.541,458.837,264.141,132.191,131.950,666.698,233.612,131.512,139.252,162.322,410.452,303.603,74.774,155.573,27.868,51.877,75.828,79.092,6.748
2021,Total,26.719.905,4.689.945,434.584,649.989,415.131,575.200,320.823,374.370,1.003.179,916.669,843.905,172.173,125.970,545.762,676.211,655.054,1.091.629,552.780,538.849,384.736,1.833.922,172.155,276.406,355.029,116.585,246.385,128.738,84.789,298.105,155.730,1.350.785,241.922,313.688,165.672,189.016,440.487,3.928.563,2.607.428,508.632,256.561,555.942,3.296.453,1.355.524,447.549,1.493.380,700.249,399.420,300.829,1.760.300,688.240,269.354,273.062,529.644,2.978.702,845.876,333.665,1.079.703,168.514,351.859,559.330,212.224,57.983
2021,Principales,18.661.493,3.262.354,284.845,484.801,302.161,360.490,202.106,249.136,661.279,717.536,541.029,89.875,54.643,396.511,445.772,447.228,830.094,436.394,393.700,238.533,1.027.557,68.628,154.228,199.452,68.076,148.031,64.140,37.962,211.874,75.166,806.848,147.642,194.265,82.150,102.093,280.698,2.993.887,2.199.168,301.880,167.891,324.948,2.045.971,764.078,241.294,1.040.599,436.472,268.499,167.973,1.097.036,456.193,134.630,139.035,367.178,2.562.887,550.697,258.283,933.990,144.922,292.969,496.099,131.871,50.984
