Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;03 Asturias, Principado de;General;Variación trimestral;2024T1;2,5
Nacional;03 Asturias, Principado de;General;Variación trimestral;2023T4;-1,9
Nacional;03 Asturias, Principado de;General;Variación trimestral;2023T3;2,7
Nacional;03 Asturias, Principado de;General;Variación trimestral;2023T2;1,7
Nacional;03 Asturias, Principado de;General;Variación trimestral;2023T1;0,9
Nacional;03 Asturias, Principado de;General;Variación trimestral;2022T4;-0,4
Nacional;03 Asturias, Principado de;General;Variación trimestral;2022T3;0,6
Nacional;03 Asturias, Principado de;General;Variación trimestral;2022T2;2,5
Nacional;03 Asturias, Principado de;General;Variación trimestral;2022T1;1,9
Nacional;03 Asturias, Principado de;General;Variación trimestral;2021T4;1,3
Nacional;03 Asturias, Principado de;General;Variación trimestral;2021T3;0,8
Nacional;03 Asturias, Principado de;General;Variación trimestral;2021T2;3,1
Nacional;03 Asturias, Principado de;General;Variación trimestral;2021T1;0,8
Nacional;03 Asturias, Principado de;General;Variación trimestral;2020T4;-0,2
Nacional;03 Asturias, Principado de;General;Variación trimestral;2020T3;-0,2
Nacional;03 Asturias, Principado de;General;Variación trimestral;2020T2;1,7
Nacional;03 Asturias, Principado de;General;Variación trimestral;2020T1;0,5
Nacional;03 Asturias, Principado de;General;Variación trimestral;2019T4;0,7
Nacional;03 Asturias, Principado de;General;Variación trimestral;2019T3;0,9
Nacional;03 Asturias, Principado de;General;Variación trimestral;2019T2;2,2
Nacional;03 Asturias, Principado de;General;Variación trimestral;2019T1;0,5
Nacional;04 Balears, Illes;General;Variación trimestral;2025T4;1,9
Nacional;04 Balears, Illes;General;Variación trimestral;2025T3;3,8
Nacional;04 Balears, Illes;General;Variación trimestral;2025T2;3,9
Nacional;04 Balears, Illes;General;Variación trimestral;2025T1;3,1
Nacional;04 Balears, Illes;General;Variación trimestral;2024T4;1,4
Nacional;04 Balears, Illes;General;Variación trimestral;2024T3;2,8
Nacional;04 Balears, Illes;General;Variación trimestral;2024T2;2,3
Nacional;04 Balears, Illes;General;Variación trimestral;2024T1;1,8
Nacional;04 Balears, Illes;General;Variación trimestral;2023T4;-1,2
